Frequency,Mode,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source,Stn,Call sign,Additional info,Remarks,Position of site,Active,Year
11680000,AM,China Radio International,1200,1257,Khmer,Nanning,China,1234567,seAS,100,200,China,ILGRadio,CRI,,,,"108 11 30E,22 47 32N",C,2212
11680000,AM,KCBS Pyongyang,2000,1755,Korean,Kuyang,Korea-North,1234567,(KREn  ),200,28,North Korea,ILGRadio,KCBS,,,,"126 06 38E,40 04 52N",C,2211
11680000,AM,Voice of Hope - Africa,0400,0802,English,Lusaka-Shangala,Zambia,1234567,wAF/cAF,100,315,Zambia,ILGRadio,VOHA,,,,"028 00 13E,15 32 20S",C,NONE
11683000,USB,Peoples Liber.Army Air Defence,0500,0700,DATA:DATA  VOICE,Beijing and others,China,1234567,cAS,0.2,0,China,ILGRadio,PLAAD,"746,...",ALE MIL-STD 188-141A,,"116 36 00E,40 04 00N",C,2201
11685000,AM,CNR Beijing 11,0000,0600,Tibetan,Xian-Baoji,China,1234567,(CHNsw ),100,255,China,ILGRadio,CNR11,,,,"106 56 30E,34 41 36N",C,2211
11685000,AM,CNR Beijing 11,0600,0857,Tibetan,Xian-Baoji,China,123.567,(CHNsw ),100,255,China,ILGRadio,CNR11,,,,"106 56 30E,34 41 36N",C,2211
11685000,AM,R.Exterior de Espana,1500,1600,Spanish,Noblejas,Spain,1.....7,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,1600,1730,Spanish,Noblejas,Spain,1234567,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,1730,1800,Arabic,Noblejas,Spain,.23456.,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,1730,1830,Spanish,Noblejas,Spain,1.....7,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,
11685000,AM,R.Exterior de Espana,1800,1830,Portuguese,Noblejas,Spain,.23456.,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,1830,2230,Spanish,Noblejas,Spain,1234567,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,2230,2300,Spanish,Noblejas,Spain,......7,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,
11685000,AM,R.Exterior de Espana,2230,2300,Arabic,Noblejas,Spain,.23456.,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2212
11685000,AM,R.Exterior de Espana,2230,2300,Sefardi,Noblejas,Spain,1......,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,
11685000,AM,R.Exterior de Espana,2300,2330,English,Noblejas,Spain,.2.4.6.,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,R.Exterior de Espana,2300,2400,Spanish,Noblejas,Spain,..3.5..,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,
11685000,AM,R.Exterior de Espana,2330,2400,French,Noblejas,Spain,.2.4.6.,AF,200,161,Spain,ILGRadio,REE,,,,"003 25 49W,39 57 29N",C,2211
11685000,AM,Voice of Islamic Rep.of Iran,1423,1520,Bengali,Zahedan,Iran,1234567,ME,500,0,Iran,ILGRadio,VOIRI,,,,"060 51 52E,29 28 29N",C,
